"Destination_mun","Total","Walk","Bike","Car","PTransit","Other","Active"
"Setúbal",20147,949,25,14221,4547,407,974
"Sintra",444,0,0,421,20,3,0
"Vila Franca de Xira",160,0,0,160,0,0,0
"Alcochete",231,0,0,172,0,60,0
"Almada",35845,2844,54,28261,4034,651,2898
"Amadora",3234,0,0,2591,643,0,0
"Barreiro",3564,0,0,3491,73,0,0
"Cascais",1234,0,0,876,358,0,0
"Lisboa",19552,27,0,7287,11914,327,27
"Loures",928,0,0,616,312,0,0
"Moita",908,0,0,908,0,0,0
"Montijo",1028,0,0,1019,3,6,0
"Odivelas",968,0,0,657,308,4,0
"Oeiras",1798,0,0,1523,251,24,0
"Palmela",3487,0,2,2498,987,0,2
"Seixal",182892,67111,2103,103757,9125,797,69214
"Sesimbra",6168,659,85,5201,226,0,744
"Setúbal",2428,4,2,2079,265,76,6
"Sintra",674,0,0,620,54,0,0
"Vila Franca de Xira",1340,0,0,1046,284,10,0
"Almada",2867,0,0,2561,176,130,0
"Amadora",289,0,0,201,88,0,0
"Barreiro",3612,62,0,3368,172,10,62
"Cascais",76,0,0,76,0,0,0
"Lisboa",4715,0,0,3225,1398,93,0
"Loures",203,0,0,203,0,0,0
"Mafra",227,0,0,227,0,0,0
"Moita",813,0,0,813,0,0,0
"Montijo",240,0,0,240,0,0,0
"Odivelas",109,0,0,90,19,0,0
"Oeiras",489,0,0,477,12,0,0
"Palmela",2252,0,0,2024,227,0,0
"Seixal",6540,671,85,5401,345,39,756
"Sesimbra",61503,20211,423,39661,840,370,20634
"Setúbal",4699,112,43,4369,163,12,155
"Sintra",184,0,0,184,0,0,0
"Vila Franca de Xira",93,0,0,93,0,0,0
"Alcochete",552,0,0,450,102,0,0
"Almada",2625,0,0,2178,332,115,0
"Amadora",918,0,0,913,5,0,0
"Barreiro",2610,0,0,2003,475,132,0
"Cascais",323,0,0,91,232,0,0
"Lisboa",6323,0,0,4483,1794,44,0
"Loures",519,0,0,507,12,0,0
"Mafra",47,0,0,47,0,0,0
