"ID"	"AFF"	"AGE"	"SEX"	"MODE"	"lat"	"lon"
1364	"Staff"	44	"Female"	"Car"	38.75722	-9.140317
30	"Student"	18	"Male"	"PT"	38.70746	-9.211668
1054	"Student"	22	"Female"	"PT"	38.74	-9.150241
163	"Student"	21	"Male"	"Walk"	38.73225	-9.117228
1696	"Faculty"	36	"Female"	"Car"	38.69823	-9.2255
544	"Student"	19	"Female"	"Walk"	38.75764	-9.186014
428	"Student"	26	"Female"	"Car"	38.79012	-9.15499
23	"Student"	21	"Female"	"Car"	38.79226	-9.093053
759	"Student"	18	"Male"	"PT"	38.75831	-9.170566
268	"Staff"	31	"Male"	"PT"	38.74158	-9.124367
18	"Staff"	35	"Male"	"PT"	38.78028	-9.162227
256	"Student"	19	"Male"	"PT"	38.70409	-9.207038
562	"Faculty"	52	"Male"	"Car"	38.70631	-9.176328
673	"Staff"	41	"Male"	"PT"	38.72543	-9.128492
691	"Faculty"	44	"Female"	"Car"	38.71641	-9.16447
1515	"Student"	23	"Male"	"Car"	38.76047	-9.187681
36	"Student"	25	"Male"	"PT"	38.77215	-9.117947
481	"Faculty"	43	"Female"	"Car"	38.74079	-9.133504
431	"Student"	26	"Male"	"Walk"	38.75004	-9.139952
334	"Faculty"	33	"Male"	"Car"	38.74901	-9.11518
548	"Student"	31	"Male"	"PT"	38.75438	-9.142493
980	"Student"	28	"Female"	"Walk"	38.74495	-9.136562
202	"Faculty"	40	"Female"	"Car"	38.72278	-9.139397
1384	"Staff"	44	"Female"	"PT"	38.71618	-9.14728
1137	"Faculty"	34	"Female"	"PT"	38.75036	-9.187113
342	"Student"	22	"Male"	"PT"	38.73482	-9.156229
538	"Student"	28	"Male"	"PT"	38.74172	-9.157194
751	"Staff"	51	"Female"	"Car"	38.72789	-9.126266
1698	"Student"	25	"Male"	"Walk"	38.72322	-9.142722
196	"Student"	23	"Female"	"Walk"	38.7401	-9.130357
132	"Student"	21	"Male"	"Walk"	38.71956	-9.159453
78	"Faculty"	39	"Male"	"Walk"	38.72487	-9.141464
1674	"Student"	34	"Male"	"Walk"	38.73336	-9.13152
841	"Student"	20	"Female"	"Walk"	38.73364	-9.127782
1851	"Student"	34	"Female"	"Car"	38.7165	-9.165976
993	"Student"	18	"Female"	"PT"	38.71494	-9.16631
1218	"Student"	22	"Female"	"Walk"	38.74683	-9.145655
911	"Student"	20	"Male"	"PT"	38.76767	-9.15332
1013	"Faculty"	42	"Male"	"Bike"	38.75562	-9.181745
1412	"Faculty"	55	"Male"	"PT"	38.75165	-9.17175
40	"Faculty"	30	"Female"	"Walk"	38.73252	-9.131939
784	"Student"	23	"Male"	"Bike"	38.73167	-9.139924
1188	"Student"	23	"Male"	"PT"	38.74352	-9.176319
1693	"Student"	24	"Male"	"Walk"	38.72548	-9.144595
158	"Student"	23	"Male"	"Walk"	38.73219	-9.139084
646	"Faculty"	30	"Female"	"Walk"	38.73524	-9.134772
769	"Student"	19	"Female"	"PT"	38.71215	-9.164577
657	"Student"	24	"Male"	"PT"	38.75846	-9.153948
1581	"Staff"	46	"Male"	"PT"	38.70689	-9.188999
83	"Faculty"	30	"Male"	"Walk"	38.72738	-9.163581
1182	"Staff"	53	"Male"	"Car"	38.75465	-9.172806
1253	"Student"	22	"Male"	"PT"	38.78184	-9.09647
960	"Student"	21	"Male"	"PT"	38.73573	-9.150752
425	"Faculty"	55	"Male"	"Walk"	38.74228	-9.128722
65	"Faculty"	37	"Male"	"PT"	38.71906	-9.155377
1523	"Student"	25	"Female"	"Walk"	38.73409	-9.141348
837	"Student"	24	"Male"	"PT"	38.70543	-9.170298
885	"Student"	19	"Male"	"Car"	38.76016	-9.181464
371	"Faculty"	70	"Female"	"Car"	38.75408	-9.197341
834	"Student"	20	"Male"	"PT"	38.73583	-9.149258
1089	"Student"	25	"Female"	"PT"	38.75658	-9.098317
1498	"Faculty"	51	"Male"	"Car"	38.74954	-9.142216
712	"Student"	27	"Male"	"Walk"	38.73965	-9.140383
1813	"Student"	19	"Female"	"PT"	38.7438	-9.119678
